country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity
DK,Denmark,J,Information and communication,2023,44.31,,31.85,,22.22,,22.52,,7.15,,3.51,,15.47,,13.6,,11986.36,108320.0,4,4,110.6569423929099,0,No,Yes,Yes
DK,Denmark,J,Information and communication,2024,68.3,,53.84,,40.77,,29.06,,11.17,,3.2,,26.81,,17.68,,12296.67,105387.0,4,4,116.68108969797034,0,No,Yes,Yes
DK,Denmark,L,Real estate activities,2021,19.14,,9.18,,1.7,,12.37,,2.18,,0.0,,5.88,,4.48,,2532.7799999999997,35547.0,4,4,71.25158241201788,0,No,Yes,Yes
DK,Denmark,L,Real estate activities,2023,13.77,,4.94,,2.29,,6.43,,0.0,,0.0,,3.37,,3.95,,2386.38,33732.0,4,4,70.74528637495553,0,No,Yes,Yes
DK,Denmark,L,Real estate activities,2024,29.41,,15.97,,7.73,,10.39,,0.33,,0.0,,4.78,,5.59,,5604.44,33961.0,4,4,165.0257648479138,0,No,Yes,Yes
DK,Denmark,M,"Professional, scientific and technical activities",2021,39.22,,25.62,,14.18,,26.13,,7.38,,3.23,,7.57,,10.9,,13476.2,129472.0,4,4,104.08582550667326,0,No,Yes,Yes
DK,Denmark,M,"Professional, scientific and technical activities",2023,23.58,,14.75,,8.49,,11.95,,3.81,,1.32,,3.06,,8.65,,16108.93,148801.0,4,4,108.2582106303049,0,No,Yes,Yes
DK,Denmark,M,"Professional, scientific and technical activities",2024,44.9,,33.4,,23.78,,18.41,,7.61,,2.33,,12.05,,12.14,,17945.739999999998,153128.0,4,4,117.19437333472648,0,No,Yes,Yes
DK,Denmark,N,Administrative and support service activities,2021,19.04,,9.33,,3.4,,11.81,,2.03,,0.89,,4.04,,5.04,,6460.17,130917.0,4,4,49.345539540319436,0,No,Yes,Yes
DK,Denmark,N,Administrative and support service activities,2023,9.32,,4.44,,1.47,,3.8,,2.71,,0.18,,1.53,,3.13,,7104.03,136714.0,4,4,51.96271047588396,0,No,Yes,Yes
DK,Denmark,N,Administrative and support service activities,2024,27.84,,20.54,,11.81,,10.41,,1.13,,0.37,,8.9,,3.58,,7332.24,136385.0,4,4,53.76133739047549,0,No,Yes,Yes
DE,Germany,C,Manufacturing,2021,9.19,,3.95,,1.71,,3.23,,2.2,,0.58,,0.77,,2.04,,686674.6499999999,7534253.0,4,4,91.14037582757041,0,No,Yes,Yes
DE,Germany,C,Manufacturing,2023,9.32,,4.46,,1.91,,3.7,,2.41,,0.91,,0.98,,2.41,,754827.2,7736047.0,4,4,97.57272674274084,0,No,Yes,Yes
DE,Germany,C,Manufacturing,2024,16.11,,7.43,,3.77,,4.24,,3.08,,0.99,,4.08,,3.98,,738441.8200000001,7485149.0,4,4,98.65425791791188,0,No,Yes,Yes
DE,Germany,F,Construction,2021,8.29,,2.87,,1.6,,2.31,,0.33,,0.15,,0.13,,,,109306.66,1666492.0,4,4,65.59086992316794,1,No,Yes,Yes
DE,Germany,F,Construction,2023,4.48,,1.26,,0.36,,0.78,,0.22,,0.05,,0.11,,0.41,,121155.53,1713404.0,4,4,70.71042789674823,0,No,Yes,Yes
DE,Germany,F,Construction,2024,10.01,,4.92,,2.36,,1.18,,0.99,,0.14,,,,,,125892.97,1687900.0,4,4,74.58556194087328,2,No,Yes,Yes
DE,Germany,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,7.95,,2.43,,1.32,,3.09,,0.72,,1.12,,1.47,,1.24,,361834.57,5084180.0,4,4,71.16871747263079,0,No,Yes,Yes
DE,Germany,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,9.97,,4.2,,1.44,,3.21,,1.86,,1.34,,2.88,,2.57,,340081.75,5059848.0,4,4,67.21185102793602,0,No,Yes,Yes
DE,Germany,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,16.29,,8.05,,3.52,,3.06,,2.09,,1.48,,7.57,,2.65,,325519.61,5129840.0,4,4,63.45609414718588,0,No,Yes,Yes
DE,Germany,H,Transportation and storage,2021,6.14,,2.66,,0.9,,2.11,,0.39,,,,0.45,,,,124243.5,2067727.0,4,4,60.086994076103856,2,No,Yes,Yes
DE,Germany,H,Transportation and storage,2023,7.05,,4.71,,0.56,,1.86,,,,,,,,,,117443.84,1836194.0,4,4,63.96047476464905,4,No,Yes,Yes
DE,Germany,H,Transportation and storage,2024,11.48,,6.56,,3.5,,2.3,,,,1.48,,,,,,120848.82,1910379.0,4,4,63.259081051456285,3,No,Yes,Yes
DE,Germany,I,Accommodation and food service activities,2021,3.88,,1.98,,0.34,,0.99,,,,0.1,,,,,,28745.3,1342387.0,4,4,21.41357149614828,3,No,Yes,Yes
DE,Germany,I,Accommodation and food service activities,2023,5.38,,1.79,,1.26,,1.73,,0.38,,,,,,,,46090.72,1506819.0,4,4,30.588093195002187,3,No,Yes,Yes
DE,Germany,I,Accommodation and food service activities,2024,8.26,,3.65,,1.31,,0.79,,,,0.05,,,,0.41,,48361.11,1747408.0,4,4,27.67591197934312,2,No,Yes,Yes
DE,Germany,J,Information and communication,2021,28.8,,17.91,,10.9,,9.81,,3.69,,2.1,,7.05,,10.61,,135390.11000000002,1296097.0,4,4,104.45985910005194,0,No,Yes,Yes
DE,Germany,J,Information and communication,2023,33.05,,23.21,,11.88,,12.05,,10.89,,1.56,,9.1,,12.98,,140794.3,1330861.0,4,4,105.79188961131177,0,No,Yes,Yes
DE,Germany,J,Information and communication,2024,60.52,,47.62,,30.2,,27.09,,27.83,,0.98,,28.62,,15.68,,137852.16999999998,1316498.0,4,4,104.71126427841133,0,No,Yes,Yes
DE,Germany,L,Real estate activities,2021,11.15,,3.1,,1.93,,3.38,,0.0,,0.0,,1.48,,1.87,,39148.82,266070.0,4,4,147.13729469688428,0,No,Yes,Yes
DE,Germany,L,Real estate activities,2023,11.4,,4.17,,1.49,,3.31,,1.29,,,,,,,,36597.75,275135.0,4,4,133.0174278081669,3,No,Yes,Yes
DE,Germany,L,Real estate activities,2024,20.98,,9.93,,6.33,,5.84,,,,,,,,,,39659.03,291536.0,4,4,136.03476071565777,4,No,Yes,Yes
