country_code,sector_code,delta_labour_productivity_keur_2021_2024,delta_ai_any_pct_2021_2024,delta_ai_ge2_pct_2021_2024,delta_ai_ge3_pct_2021_2024,delta_ai_workflow_pct_2021_2024,delta_ai_production_pct_2021_2024,delta_ai_logistics_pct_2021_2024,delta_ai_marketing_pct_2021_2024,delta_ai_security_pct_2021_2024,delta_log_productivity_2021_2024
IE,C,27.902034587825824,8.680000000000001,4.6000000000000005,3.0700000000000003,1.6600000000000001,-0.5100000000000007,1.46,2.33,3.3499999999999996,0.040455194261856064
IE,F,24.19058904107861,5.970000000000001,3.34,0.62,2.51,1.46,0.69,0.63,2.83,0.34778111738732864
IE,G,1.9310000874616549,6.590000000000001,2.5700000000000003,1.23,1.3900000000000001,1.41,2.13,1.9100000000000001,1.25,0.026458675484798633
IE,I,2.5526780136524216,0.4400000000000004,2.37,1.5899999999999999,2.13,0.93,0.06,-0.009999999999999787,0.15000000000000002,0.08351978639648472
IE,J,257.05767068968566,16.67,12.329999999999998,7.790000000000001,3.9800000000000004,9.96,4.74,10.08,2.4299999999999997,0.35649126200644154
IE,M,37.555172588162776,13.66,14.580000000000002,8.22,8.83,3.4499999999999997,-1.5699999999999998,8.76,1.4300000000000002,0.24734625174611846
IE,N,9.808008127354597,12.58,12.49,8.73,7.989999999999999,1.7199999999999998,-2.0700000000000003,9.18,10.27,0.18136828702223395
IT,C,7.301956520737747,1.3999999999999995,1.9499999999999997,0.8600000000000001,-0.18999999999999995,-1.12,-0.06000000000000005,1.31,0.08000000000000007,0.08475692155719816
IT,F,12.499944165513021,0.0,0.41999999999999993,0.33000000000000007,-0.25,0.10999999999999988,-0.75,0.39,-0.8999999999999999,0.18722061430392678
IT,G,2.5085103815131475,2.630000000000001,2.6,1.54,0.22999999999999998,-0.13,-0.10999999999999999,1.08,-1.2799999999999998,0.03559538362152903
IT,H,14.31124358672163,2.2100000000000004,1.98,0.5900000000000001,0.2300000000000002,0.29999999999999993,0.4900000000000001,1.1999999999999997,0.6599999999999999,0.22517007387362575
IT,I,11.129577544803297,-2.0900000000000003,-0.77,0.8999999999999999,0.5099999999999999,,-0.33,1.42,-0.35,0.3564050053370016
IT,J,1.4947611398635559,18.41,15.260000000000002,13.27,4.88,5.96,-0.19999999999999996,7.02,5.4,0.014132289514330765
IT,M,4.0820892869028285,10.879999999999999,10.96,5.99,4.41,2.9,0.12,4.550000000000001,1.1,0.05088452603846516
IT,N,4.352115371467029,1.5,1.9899999999999998,2.92,0.7100000000000001,0.19999999999999996,0.09,1.2,-0.1399999999999999,0.11598186271423794
LT,C,7.463705974808121,3.750000000000001,3.83,2.23,1.02,-0.2599999999999998,0.06999999999999995,1.27,-0.08000000000000007,0.19078870682654925
LT,F,13.467595726641253,2.3099999999999996,2.04,1.14,0.54,0.28,0.16,0.32,-0.28,0.46554374147742195
LT,G,4.51610830767342,4.89,4.2700000000000005,2.62,2.2399999999999998,0.47000000000000003,1.33,2.51,-0.030000000000000027,0.1254079562652488
LT,H,7.7778622363266265,1.12,-0.06000000000000005,0.24999999999999997,-1.0699999999999998,0.39,-0.19999999999999996,0.8299999999999998,0.64,0.23254405734707317
LT,I,6.143402481350419,0.41999999999999993,0.30000000000000027,0.29000000000000004,-0.19999999999999996,-0.26,0.93,0.8599999999999999,1.8599999999999999,0.36949528418373134
LT,J,26.248542829641316,23.13,24.799999999999997,21.730000000000004,18.879999999999995,5.360000000000001,-1.15,5.66,7.890000000000001,0.4222791925467946
LT,M,10.217664956946862,8.93,7.0600000000000005,7.140000000000001,5.79,1.3099999999999998,0.13,4.5,0.33000000000000007,0.25233269297445027
LT,N,8.289000184365918,3.710000000000001,0.03000000000000025,-1.9500000000000002,5.01,0.7799999999999998,-0.020000000000000018,-0.3999999999999999,-0.029999999999999805,0.3516920864295998
LU,F,6.708308665415018,7.799999999999999,2.67,1.7600000000000002,0.9500000000000001,-0.10999999999999999,0.03,0.74,-0.45,0.0996320259459802
